Total_Demand,RRP,Maximum_Temp,Minimum_Temp,Rainfall,Solar_Exposure
301415.87,65.68458333,31.9,21.5,0,23.9
291784.55,65.83208333,22,15.4,4.2,11.3
296888.83,66.14666667,25.4,17.2,0,12.6
288287.51,66.18520833,23.7,14.5,0,11.1
48038.42,66.21395833,28.7,15.5,0,22.2
62862.43,66.25875,18.6,1.8,0,16.7
328846.89,66.35083333,27.3,18.2,0,14.7
381012.02,66.35270833,19.4,8.7,0,12.9
402724.94,66.36895833,17.9,6.6,0,11.8
277591.35,66.38645833,23.8,15.4,1.6,11.6
258017.24,66.399375,15.2,9.9,2.4,8.2
294126.48,66.51333333,25,17.3,0,13.5
277536.34,66.58979167,25.3,15.9,0.2,16.9
274006.93,66.79645833,29,18.6,0,19.6
59380.71,66.87875,16.6,8.6,0,4.3
279128.59,66.88270833,24.9,14,3.8,13.1
296734.24,66.91770833,26.3,19,0,15.7
287396.53,67.00229167,26,7.4,0,14.5
311169.93,67.02604167,29.4,19.8,0.2,16.6
300837.64,67.14895833,27.4,18.8,0,15.8
292903.73,67.166875,25.2,13.8,0,12.5
221338.84,67.41041667,18,7.8,0,8
61930.74,67.49166667,13.1,9.7,4.8,11.2
55902.68,67.49625,16.8,7.2,0,6.2
367059.31,67.57791667,22.1,12.1,0,11.2
326458.26,67.57979167,23.6,17.6,0,13
64901.88,67.68541667,25.6,23.1,0,8
63517.14,67.724375,16,12,0.2,6.7
294564.35,67.81916667,24.7,13.3,0.2,13.6
337364.27,67.9175,22.3,18.1,7.7,7.2
294348.21,68.00104167,24.7,8.6,0,14.9
386591.84,68.02145833,18.4,10.7,0,10.9
286482.6,68.14729167,23.5,13.8,0,11.4
64859.2,68.36333333,21.4,4.7,0,10.7
288242.74,68.44583333,22.1,11.2,0,12.9
337390.23,68.46333333,18.9,11.7,0,9.4
285266.02,68.55645833,24,10,0,15.8
395590.77,68.58708333,16.2,11.3,0.1,11.5
364506.14,68.59895833,20.9,10.1,0,10.9
56961.62,68.60354167,14.6,9.6,0.8,7.5
287192.57,68.60666667,23.3,12.8,0,12.3
401224.08,68.61333333,19.5,13,0,9.3
302655.4,68.669375,25.1,18.4,3.4,7.8
417744.76,68.89,21.1,9.9,0,11.5
298307.11,68.990625,22.9,16,0,10.8
53763.88,69.025,23.2,18.1,0,3
54625.94,69.044375,18.5,6.9,0,10.9
60983.3,69.08645833,12.5,2.4,0.1,7.3
387607.13,69.08729167,21.4,8.3,0,13.5
402209.9,69.293125,23.9,11.5,0,10.5
285371.69,69.355625,28.7,12.8,2.8,16.4
284626.31,69.35979167,22.4,12.5,0,14.6
290549.03,69.59895833,23.3,16,0.2,9.7
294222.32,69.625,28.2,17.7,0.2,16.8
284280.02,69.646875,24,12.8,0,15.3
59421.6,69.72270833,17.6,9.1,1,5.7
430613.73,69.905625,17.6,12.6,13,9.4
433770.05,69.91479167,18.9,7.6,0,10.8
55192.55,69.95041667,13.4,5.6,0,7
358349.18,70.19083333,22.7,11.1,0,9.7
54169.7,70.23666667,19,8.2,0,8.6
347478,70.2375,27.6,12.8,0,11.8
312867.33,70.276875,33.3,23,0,24.1
424033.6,70.336875,18.1,9.1,0,11.3
290166.24,70.38520833,22.5,10.9,0,14.6
312446.75,70.38625,17.7,13.9,,6.4
417930.16,70.40020833,20.1,10,3.8,13.1
245521.84,70.41041667,17.9,9.6,0,9.2
416337.41,70.45833333,20.8,9.3,0,12
376987.01,70.56708333,23.9,9.7,0,13.6
293140.27,70.60020833,27.5,17.7,1,20.1
404881.21,70.61020833,25.8,6.7,0,15.1
421280.97,70.61979167,20.3,8.2,0,12.6
54859.72,70.629375,17,11.9,1.8,4.4
282876.15,70.73375,25.9,11.3,0,15.7
66360.04,70.78354167,15.2,13.1,0,8.5
57739.67,70.80875,17.9,10,0.2,5.8
51058.79,70.93020833,20.8,8.3,0,12.3
417661.72,71.00708333,18.4,13.4,24.8,8.4
58945.34,71.08979167,9.4,4.8,4.6,4.4
299993.26,71.09229167,26.4,18.8,4,16.5
429613.83,71.13145833,15.8,8.1,12.4,9.5
426836.76,71.20854167,18.4,12.8,1.2,6.5
314348.3,71.27291667,22.5,11.5,0,19.2
66505.5,71.29166667,33.3,17.2,0,15.8
215232.06,71.30645833,18.2,5,0,15.8
418960.14,71.48791667,21.8,6.4,0,14.9
48063.63,71.493125,19.1,12.4,0,9.6
299663.75,71.505,20.1,9.6,0,14.7
310617.05,71.63375,32.2,22.9,1,24.1
287648.63,71.63958333,23,14,0.2,13.7
289763.09,71.66833333,27.5,13.2,0,13.7
58600.53,71.67229167,13.3,9.7,0,3.8
54615.09,71.81145833,15,6.4,0.2,11.3
56617.46,71.83145833,15.6,6.6,3,6.5
355635.03,71.98875,21,10.6,0,13
368215.09,72.03229167,19.3,12.4,4.4,13.6
56423.43,72.06875,13.9,9.5,0,5.1
60934.26,72.06895833,9.3,6.2,6.4,6.2
420606.87,72.091875,20.8,8.1,0,12.1
294879.86,72.15375,26.8,20.6,39.6,9.2
371206.96,72.36770833,25.7,18.4,0.2,22.7
61770.38,72.46458333,19.1,9,0,11
57219.79,72.49729167,24,10.4,0,15.5
314745.78,72.51166667,29.1,19.8,1.2,17.4
209899.9,72.586875,19.8,13.7,2.4,9.1
291206.8,72.595,25.9,13.2,0,14
59143.82,72.60375,15.7,4.5,1.2,4.8
282826.91,72.608125,23.4,10.9,0,15.7
58541.96,72.641875,20.8,17.4,0,12.3
59517.89,72.65541667,13.2,5.2,0,4.8
408524.73,72.66145833,21.2,10.9,0,11.5
276427.99,72.68770833,27.8,18.8,0,18.7
369920.95,72.744375,30,19.5,1.4,19.7
371762.57,72.80479167,29.3,21.2,4.8,21.1
296037.86,72.82145833,25,16.2,0,10
289592.74,72.83166667,25.1,14,0,12.2
295263.62,72.83270833,20.3,14.3,0.2,10.2
362751.07,72.85,22,10.3,0,11.1
311349.47,72.95791667,32,22.3,0,23.6
291213.5,72.98916667,27.5,12.7,0,14.5
54566.24,73.0525,19.3,14,0.8,14.4
292751.93,73.09145833,24.4,14.1,0,13.2
282373.89,73.12770833,21.7,8.4,0,12.8
309752.05,73.18979167,29.5,18.9,0,16.7
374613.5,73.195625,27.6,13.3,0,12
280476.52,73.21979167,22.7,10.5,0,12.7
362749.79,73.28104167,18.8,14.5,0.1,16.7
298441.47,73.39125,27.8,18.6,6.2,20.4
438201.08,73.398125,14.5,6.2,0,8.8
293578.36,73.49666667,23.3,7.7,0,14.5
217447.23,73.511875,17.2,13.2,2,19.5
230921.2,73.58708333,16.5,7,4,13.4
412787.86,73.58916667,20.2,9.4,0,11.6
45512.45,73.625,23.1,7.4,0,11.4
53114.45,73.7225,20.7,16.2,0,14.2
336440.22,73.77458333,27.4,18.3,0,17.9
344386.19,73.82979167,21.3,16.9,11,11.8
56368.35,73.83458333,21.8,18.1,0,19.7
388685.51,73.83583333,22,14.1,0,5.3
256239.43,73.925625,16.2,7.3,0,10.5
203988.11,73.93,23.7,14.3,0,10.1
62082.13,73.93520833,17.2,14.3,41.2,6
295475.53,73.9425,24.2,10.6,0,13.8
307879.58,74.04333333,29.3,20.1,1.2,16.6
303319.72,74.13833333,26.9,19.2,2.2,12
60799.99,74.193125,32.2,17.4,0,25.5
376000.48,74.20625,27.2,18,21.6,10.6
239197.21,74.30833333,18.1,12.7,0,8.3
295874.37,74.41770833,23.6,9.5,0,14.8
208109.7,74.50645833,21.8,8.9,0,10
58603.85,74.57291667,13.6,2.9,0,12.5
420477.1,74.58958333,19.5,6.7,0,12.1
383811.76,74.64354167,17.8,8.1,0,11.9
55714.72,74.803125,25.4,9,0,8.4
