Total_Demand,RRP,Maximum_Temp,Minimum_Temp,Rainfall,Solar_Exposure
60009.93,35.33145833,13.7,3.7,0,7.2
69645.87,35.33770833,14,10.5,6.6,8.9
293161.63,35.35166667,28,17.3,0,20.5
273388.27,35.37270833,25.9,9.8,0,16.7
87781.29,35.404375,10.9,8,0,5.9
319558.72,35.44416667,21.6,16.8,14.5,15.1
48879.69,35.46229167,19.5,10.1,1,13.8
56463.95,35.51270833,18.2,5.6,0,11.8
50493.93,35.53833333,20.4,8.2,0.4,19.5
66152.88,35.54729167,15.3,12.2,2,6.2
268924.87,35.62958333,23.6,10.2,0,14.9
262745.42,35.631875,15.1,10.2,1.2,7.3
53006.76,35.67770833,22.4,9.5,1.8,10.6
243056.75,35.71875,12,6.9,0.2,4.9
48591.11,35.79145833,21.2,10.3,0.4,6.8
287062.28,35.80333333,28.7,17.2,0,15.9
310425.34,35.86270833,27.2,22.6,21.6,13.2
57357.16,35.881875,21.6,14,10.6,14.1
371535.7,35.89666667,20.2,11,5.8,10
46798.02,35.91375,16.4,12.3,0.5,16.2
381336.2,35.96520833,23.7,12.7,0,11.4
49964.33,35.97333333,17.5,6.1,0,16.6
54193.69,35.99,13,6.1,0,5.4
47983.65,36.03791667,17.6,13.5,0,9.3
46582.04,36.03895833,27.1,10.1,0,15.7
282644.65,36.10458333,23.3,13,0,13.2
47008.77,36.12666667,23.8,13,0,3.1
49686.76,36.1325,22.3,11.7,0,13.1
268038.65,36.15375,23.1,13.3,0,18.1
377645.12,36.17708333,21.4,8.4,0,10.7
55005.73,36.20416667,16.7,7.1,0.2,11.7
281618.77,36.234375,28.8,15.4,0,18.4
363861.07,36.26604167,20.7,10.5,5.6,10.7
287595.6,36.28770833,22.1,9.5,0,14.2
53284.39,36.29479167,20.3,5.2,0,13.7
227012.02,36.30458333,18.2,12.8,0,8.8
282154.47,36.341875,25.4,14.4,0,10.5
50844.69,36.448125,27.8,11.8,0,21.6
311135.73,36.45,29.9,23.1,0.2,18.5
60282.18,36.45479167,13.8,6,0,6.8
401989.2,36.5025,18.6,11.3,0,11.2
240545.55,36.51541667,29.5,16.6,0,19.5
189662.46,36.54083333,22,12.7,0.4,9.5
269080.76,36.58979167,23.3,9.2,,18
402116.74,36.604375,22.7,8.5,0,12.2
286781.71,36.60645833,23.3,8.1,0,14.3
288156.13,36.61916667,27.7,18,1.8,15.5
274719.87,36.65104167,25.9,14.9,0,11.5
336426.99,36.784375,27.7,16.3,0,15.2
298220.77,36.81229167,31.6,21.9,0,22.8
55111.79,36.81333333,20.1,9.8,0,12.8
381089.46,36.815,18,7.9,0,13
63678.7,36.82833333,12,4.1,10.2,6.8
68126.65,36.83979167,14.8,10,1.4,10.3
46198.55,36.84375,14.8,12.2,0.2,8
43088.39,36.848125,16.8,10.5,1.8,10.3
245101.89,36.85958333,17.1,7.8,0,7.5
338394.59,36.86041667,26.6,13.4,0,15.3
350264.32,37.016875,22.4,11.6,0,9
399109.58,37.12541667,16.5,9,1.6,10.6
278568.67,37.18104167,24.9,15.1,0,12.5
60286.64,37.18520833,17.7,9.3,0,15.6
57416.96,37.20145833,13.2,7.9,0,4
334799.07,37.23583333,18.2,11,0,14
407013.14,37.24333333,18.4,13.3,1.6,9.7
371411.33,37.25583333,19.8,17.7,0.2,3.4
260186.67,37.35875,28.1,15.3,0,19.8
430407.44,37.37166667,14.8,10,9.6,9.2
293716.43,37.37270833,28.5,17.7,0.2,19.2
285307.08,37.373125,28.5,16.7,0,17
291727.94,37.4,29.5,16.8,0.2,16.3
219159.64,37.40583333,13.8,10.9,4.2,7.9
51312.5,37.46020833,21.9,12.9,0,19.4
51545.22,37.49625,21.9,11.9,0,6.6
61750.84,37.53375,16.3,8,0.2,10.3
203708.31,37.5425,16.6,12.8,36,6.1
388104.62,37.61625,21.5,8.4,0,12.7
280583.66,37.629375,27.6,16.1,0,19
268595.88,37.65166667,22.8,10.9,0,16.4
54959.43,37.676875,16,14.5,0,1.2
287318.37,37.7275,32.3,18.4,0,18.3
291911.02,37.76666667,21.5,12.4,0,13.5
47854.54,37.775,22.2,14.7,0.6,2.2
368280.18,37.84416667,19.1,12.3,11.4,11.7
52562.56,37.93333333,16.2,5.3,0,16.4
348858.59,37.945625,28,17.4,2.2,11.6
57830.13,38.03645833,15.1,1.9,0,7.4
56628.92,38.03791667,14.8,7.7,0.2,7.6
49510.46,38.075625,21.9,7.5,0.4,24.1
396151.92,38.07979167,21.9,9.9,0,10.9
285818.89,38.110625,26.1,15.4,5.4,12.3
52542.19,38.14395833,16.8,14.9,0,7.9
297506.8,38.15333333,26.1,18.8,0.2,13.5
278634.71,38.18166667,28.9,14.1,0.2,18.6
239607.97,38.22895833,15.8,10.3,16.8,7.8
72393.95,38.24895833,14.6,2.6,0,10.6
270929.55,38.25958333,20.7,10.4,0,14.8
262932.48,38.28083333,15.9,10.2,0,5
265420.72,38.29354167,15.6,8.4,11.2,4.9
304006.26,38.315625,25.3,21.7,0,7.4
68137.82,38.33541667,14.2,5.1,0,13.1
282048.39,38.40166667,25.4,9.5,0,15.1
291777.06,38.40583333,21.5,9.6,0,13.9
47743.62,38.485625,17.1,11.2,0,24
51761.96,38.66229167,20.8,9.1,0,10.4
215699.66,38.72375,23.4,12.1,0.8,11.1
286660.72,38.775625,20.8,14.6,3.2,8
409995.24,38.83770833,16.2,9.4,0.4,7.9
358868.9,38.88729167,22.4,7.6,0,17.1
71982.96,39.01916667,14,10.8,2.4,8.3
61847.51,39.10604167,16.5,8.6,0,6
291271.18,39.11,22.6,10.5,0,14.7
368143.61,39.3175,25.4,12.4,0,11.3
424800.75,39.3375,19.1,10.2,0,11
51635.2,39.343125,21.9,9.5,0,12.8
334665.77,39.35895833,19.6,16.8,0,0.6
45621.58,39.36083333,19.3,9.8,0.1,14.8
338707.44,39.44395833,26.6,13.7,0,15.7
272668.99,39.45729167,25.3,17,0.8,12.8
50959.95,39.480625,15.6,11.1,0,6.7
230151.62,39.48625,26.8,19.1,0,7.3
61006.54,39.52145833,10.8,3,0.2,7.1
294597.34,39.64145833,26.2,19.5,1,11.3
288731.78,39.67875,28.9,18.7,0,17.7
72660.31,39.711875,30.8,20.8,0,13.4
48595.25,39.76166667,14.5,13.8,10,4
71046.92,39.82729167,18.8,4.6,0,11.8
284659.57,39.904375,23.9,11.1,0,14.1
291267.94,39.90645833,33,18.6,0,23.2
335608.96,39.91625,26.1,14.1,0,15.5
72620.99,39.934375,14.9,8.4,16.2,7.9
43211.98,39.950625,15.1,8.7,1.6,19.9
62722.43,39.971875,21.4,7.6,0,11.7
59704.23,40.010625,22.8,12,0,12.8
325764.12,40.09270833,30,18.8,0,20.9
69485.47,40.10083333,16.8,6.8,0,8
52210.29,40.21479167,17.1,8.5,0,5.4
303495.76,40.22375,31.3,21.2,,25.4
58683.11,40.30104167,22.5,19.4,0.2,10.7
260282.45,40.30104167,15.8,4.3,0,10.3
54123.26,40.31416667,27.8,12.5,0,16.1
73661.1,40.34583333,16.6,6.7,0,8.5
342521.13,40.349375,21.7,13.7,0,5.8
230468.64,40.36104167,13.5,9.4,7,5.8
223095.21,40.385,22.7,16.1,0,12.6
66319.42,40.38875,14.3,10.9,0.2,6.3
295139.56,40.38979167,27.3,19.6,0.2,12.5
58211.86,40.44270833,22.6,17.8,0,16.1
279108.88,40.44958333,25.1,10.2,0,14.6
62816.4,40.45958333,10.2,2.2,0,2.7
54373.12,40.52916667,23.8,13.4,0,14.1
282863.98,40.61625,15.4,2.2,0,9.3
298767.43,40.640625,30.4,22.6,0,14.3
213777.09,40.674375,16.4,12.9,0,7.9
349656.33,40.74479167,22.3,16.3,7,12.7
280170.83,40.75583333,24.7,12.3,0,14.7
316928.35,40.79916667,27.4,19.2,7.8,16.4
344057.51,40.90229167,21,16.6,0,11.5
59935.92,40.926875,12.3,3.2,0.1,6.3
315667.89,41.02458333,28.2,21.7,0,10.8
392802.47,41.03020833,17,10.7,1.3,10.1
343224.11,41.04375,22.7,16.3,0,7.3
411279.63,41.04416667,21.5,7.8,0,12.6
